State,State_Code,Latitude,Longitude,Minimum State Income (%),Maximum State Income (%),Lowest Income,Maximum Income,Brackets,State Income Brackets,Income Brackets
Alabama,AL,32.6010112,-86.6807365,2,5,500,3001,3,1,833.666666666667
Alaska,AK,61.3025006,-158.7750198,0,0,0,0,0,0,0
Arizona,AZ,34.1682185,-111.930907,2.59,4.54,10601,158996,5,0.39,29679
Arkansas,AR,34.7519275,-92.1313784,0.9,6.9,4299,35100,6,1,5133.5
California,CA,37.2718745,-119.2704153,1,12.3,8544,572980,9,1.25555555555556,62715.1111111111
Colorado,CO,38.9979339,-105.550567,4.63,4.63,0,0,0,0,0
Connecticut,CT,41.5187835,-72.757507,3,6.99,10000,500000,7,0.57,70000
Delaware,DE,39.145251,-75.4189206,0,6.6,2000,60001,7,0.942857142857143,8285.85714285714
District of Columbia,DC,38.8993487,-77.0145666,4,8.95,10000,1000000,5,0.99,198000
Florida,FL,27.9757279,-83.8330166,0,0,0,0,0,0,0
Georgia,GA,32.6781248,-83.2229757,1,5.75,750,7001,6,0.791666666666667,1041.83333333333
Hawaii,HI,20.46,-157.505,1.4,11,2400,200000,12,0.8,16466.6666666667
Idaho,ID,45.4945756,-114.1424303,1.125,6.925,1504,11279,7,0.828571428571428,1396.42857142857
Illinois,IL,39.739318,-89.504139,4.95,4.95,0,0,0,0,0
Indiana,IN,39.7662195,-86.441277,3.23,3.23,0,0,0,0,0
Iowa,IA,41.9383166,-93.389798,0.33,8.53,1598,71910,9,0.911111111111111,7812.44444444444
Kansas,KS,38.4987789,-98.3200779,3.1,5.7,15000,30000,3,0.866666666666667,5000
Kentucky,KY,37.8222935,-85.7682399,5,5,0,0,0,0,0
Louisiana,LA,30.9733766,-91.4299097,2,6,12500,50001,3,1.33333333333333,12500.3333333333
Maine,ME,45.2185133,-69.0148656,5.8,7.15,21450,50750,3,0.45,9766.66666666667
Maryland,MD,38.8063524,-77.2684162,2,5.75,1000,250000,8,0.46875,31125
Massachusetts,MA,42.0629398,-71.718067,5.05,5.05,0,0,0,0,0
Michigan,MI,44.9435598,-86.4158049,4.25,4.25,0,0,0,0,0
Minnesota,MN,46.4418595,-93.3655146,5.35,9.85,26520,163890,4,1.125,34342.5
Mississippi,MS,32.5851062,-89.8772196,3,5,5000,10001,3,0.666666666666667,1667
Missouri,MO,38.3046615,-92.437099,1.5,5.4,1053,8424,9,0.433333333333333,819
Montana,MT,46.6797995,-110.044783,1,6.9,3000,17900,7,0.842857142857143,2128.57142857143
Nebraska,NE,41.5008195,-99.680902,2.46,6.84,3230,31160,4,1.095,6982.5
Nevada,NV,38.502032,-117.0230604,0,0,0,0,0,0,0
New Hampshire,NH,44.0012306,-71.5799231,5,5,0,0,0,0,0
New Jersey,NJ,40.1430058,-74.7311156,1.4,10.75,20000,5000000,6,1.55833333333333,830000
New Mexico,NM,34.1662325,-106.0260685,1.7,4.9,5500,16001,4,0.8,2625.25
New York,NY,40.7056258,-73.97968,4,8.82,8500,1077550,8,0.6025,133631.25
North Carolina,NC,35.2145629,-79.8912675,5.25,5.25,0,0,0,0,0
North Dakota,ND,47.4678819,-100.3022655,1.1,2.9,39450,433200,5,0.36,78750
Ohio,OH,40.1903624,-82.6692525,0,4.997,10850,217400,8,0.624625,25818.75
Oklahoma,OK,35.3097654,-98.7165585,0.5,5,1000,7200,6,0.75,1033.33333333333
Oregon,OR,44.1419049,-120.5380993,5,9.9,3350,125000,4,1.225,30412.5
Pennsylvania,PA,40.9945928,-77.6046984,3.07,3.07,0,0,0,0,0
Rhode Island,RI,41.5827282,-71.5064508,3.75,5.99,64050,145600,3,0.746666666666667,27183.3333333333
South Carolina,SC,33.62505,-80.9470381,0,7,3030,15160,6,1.16666666666667,2021.66666666667
South Dakota,SD,44.2126995,-100.2471641,0,0,0,0,0,0,0
Tennessee,TN,35.830521,-85.9785989,2,2,0,0,0,0,0
Texas,TX,31.1693363,-100.0768425,0,0,0,0,0,0,0
Utah,UT,39.4997605,-111.547028,4.95,4.95,0,0,0,0,0
Vermont,VT,43.8717545,-72.4477828,3.35,8.75,38700,195450,5,1.08,31350
Virginia,VA,38.0033855,-79.4587861,2,5.75,3000,17001,4,0.9375,3500.25
Washington,WA,38.8993487,-77.0145665,0,0,0,0,0,0,0
West Virginia,WV,38.9201705,-80.1816905,3,6.5,10000,60000,5,0.7,10000
Wisconsin,WI,44.7862968,-89.8267049,4,7.65,11760,258950,4,0.9125,61797.5
Wyoming,WY,43.000325,-107.5545669,0,0,0,0,0,0,0